Classifier,Dataset,MAX MCC value,MAX MCC sample size,MAX MCC number of features,MAX MCC energy consumed,95% MCC value,95% MCC sample size,95% MCC number of features,95% MCC energy consumed
RF,1,1,80,74,6345.766826,0.99194,10,61,682.469893
RF,2,0.99993,90,24,138594.9598,0.99969,10,24,9295.855632
RF,3,0.99817,100,64,234558.4581,0.99576,10,64,16267.57505
RF,4,0.3514,10,14,448.8508614,0.3514,10,14,448.8508614
DT,1,0.99917,60,84,263.371631,0.99758,10,61,29.52629991
DT,2,0.99994,100,24,9137.513759,0.99949,10,24,730.9707566
DT,3,0.99769,100,64,18778.77828,0.99609,10,64,1428.355446
DT,4,0.3514,20,14,26.28646034,0.35134,10,14,14.79719428
AdaBoost,1,1,10,61,701.9746133,1,10,61,701.9746133
AdaBoost,2,0.99987,80,24,87586.17454,0.9988,10,23,8129.537925
AdaBoost,3,0.99216,70,64,100685.6287,0.99051,10,64,11696.74617
AdaBoost,4,0.3514,20,14,1114.58639,0.35059,10,14,503.1715841
LogReg,1,0.89195,80,84,3593.103388,0.88648,10,84,144.3003563
LogReg,2,0.99811,90,24,5253.000766,0.9972,10,24,434.9436619
LogReg,3,0.90212,50,64,17057.92079,0.89607,10,64,2537.112965
LogReg,4,0.30651,10,14,79.01354844,0.30651,10,14,79.01354844
MLP1,1,0.99879,70,84,37634.89399,0.98752,10,84,6304.143476
MLP1,2,0.99962,100,24,116852.7237,0.99908,10,24,25380.40002
MLP1,3,0.99724,100,64,451190.7298,0.99051,10,64,60658.80052
MLP1,4,0.35058,100,14,75599.71607,0.34864,10,14,8043.470142
MLP2,1,0.99871,80,84,43725.74654,0.9879,10,84,8924.688167
MLP2,2,0.9997,90,24,180778.9018,0.9992,10,24,33757.25777
MLP2,3,0.99741,100,64,594639.65,0.99072,10,64,64032.24062
MLP2,4,0.35059,80,14,105424.7447,0.34927,10,14,11721.28327
MLP3,1,0.99856,100,84,54438.37205,0.98533,10,84,7328.980255
MLP3,2,0.99967,90,24,241449.4663,0.99942,10,24,49102.47722
MLP3,3,0.99718,70,64,321799.3119,0.99149,10,64,52337.72989
MLP3,4,0.35023,60,14,66859.7762,0.34914,10,14,15254.41888
