Dataset name,Dataset %,Training sample size,Random seed,Number of features,Classifier,MCC,Training time,TR-CPU%,Testing time,TE-CPU%
IoTID20,10.0,41927,233,8,RF,-0.0020767238339972393,0.9530557839898393,3.9719327161787756,0.907352723996155,3.973388671875
IoTID20,10.0,41927,233,8,DT,-0.04207861589765932,0.038602968968916684,3.973388671875,0.007520140032283962,3.973388671875
IoTID20,10.0,41927,233,8,AdaBoost,-0.0016290964853111656,0.6318086499813944,3.973388671875,0.6843298920430243,3.973388671875
IoTID20,10.0,41927,233,8,LogReg,0.032568343897919655,0.0906036330270581,3.973388671875,0.0032137500238604844,3.973388671875
IoTID20,10.0,41927,233,8,Ridge,-0.02527540958115276,0.0109181459993124,3.973388671875,0.0031288310419768095,3.973388671875
IoTID20,10.0,41927,233,16,RF,0.0,1.5518642279785126,3.973388671875,1.022263724997174,3.9841133683137153
IoTID20,10.0,41927,233,16,DT,-0.0002397115588397064,0.07873047702014446,3.997802734375,0.01355359994340688,3.997802734375
IoTID20,10.0,41927,233,16,AdaBoost,-0.0903336521481054,0.9959854519693181,3.997802734375,0.7769230190315284,3.997802734375
IoTID20,10.0,41927,233,16,LogReg,0.1719309799930814,0.21724507299950346,3.997802734375,0.004648611997254193,3.997802734375
IoTID20,10.0,41927,233,16,Ridge,0.05750020156236293,0.015227620024234056,3.997802734375,0.004555738007184118,3.997802734375
IoTID20,10.0,41927,233,24,RF,0.0,2.195722559990827,3.9978202437053807,1.0113368150196038,3.9998372395832025
IoTID20,10.0,41927,233,24,DT,0.004837158496332929,0.14953280903864652,3.9998372395832678,0.01298680598847568,3.9998372395833224
IoTID20,10.0,41927,233,24,AdaBoost,-0.001849027281981802,1.3761564219603315,3.999837239584146,0.920139116991777,3.999837239582823
IoTID20,10.0,41927,233,24,LogReg,-0.035152483988881676,0.5369707940262742,3.9998372395833357,0.005648879043292254,3.999837239583336
IoTID20,10.0,41927,233,24,Ridge,0.1576123739044313,0.01947560004191473,3.999837239583336,0.005675779015291482,3.999837239583336
IoTID20,10.0,41927,233,32,RF,0.8809493142768549,2.8794405900407583,4.01868036386543,1.0931435559759848,4.024251302083507
IoTID20,10.0,41927,233,32,DT,0.7877815243766365,0.24737022502813488,4.024251302083303,0.01614151505054906,4.024251302083334
IoTID20,10.0,41927,233,32,AdaBoost,0.5427962683779142,1.88809189904714,4.024811662604726,0.9506472590146586,4.026285807292018
IoTID20,10.0,41927,233,32,LogReg,0.10183830686777429,0.6091882020118646,4.0262858072918934,0.008273563988041133,4.026285807291666
IoTID20,10.0,41927,233,32,Ridge,0.12007682685278516,0.023808690020814538,4.026285807291666,0.006940782011952251,4.026285807291666
IoTID20,10.0,41927,233,41,RF,0.7450363222945725,3.6867599110119045,4.033127970786156,1.171066480979789,4.050699869791216
IoTID20,10.0,41927,233,41,DT,0.5050499115931333,0.3412865150021389,4.050699869791423,0.01841365802101791,4.05069986979166
IoTID20,10.0,41927,233,41,AdaBoost,0.6852471291320292,2.4714251359691843,4.0507771753535105,1.0432099219760858,4.052734375
IoTID20,10.0,41927,233,41,LogReg,-0.005311637214697796,0.6335294540040195,4.052734375,0.008186710008885711,4.052734375
IoTID20,10.0,41927,233,41,Ridge,0.2651732023432802,0.02924701396841556,4.052734375,0.008183643978554755,4.052734375
IoTID20,10.0,41927,233,49,RF,0.7030359357802843,3.900105827022344,4.058550354619273,1.1796038320171647,4.0771484375
IoTID20,10.0,41927,233,49,DT,0.41370337894895975,0.4516587809775956,4.0771484375,0.022665956988930702,4.0771484375
IoTID20,10.0,41927,233,49,AdaBoost,0.7162114103395039,2.953910210984759,4.077575783403964,1.3150927139795385,4.079182942709126
IoTID20,10.0,41927,233,49,LogReg,0.09135155148734903,1.6889542489661835,4.0791829427075825,0.00955292402068153,4.079182942708334
IoTID20,10.0,41927,233,49,Ridge,-0.05477974695669865,0.03799234295729548,4.0791829427083215,0.009231470990926027,4.0791829427083375
IoTID20,10.0,41927,233,57,RF,0.9966062449470375,3.007028849038761,4.109409224787727,1.0298731439979747,4.1259765625
IoTID20,10.0,41927,233,57,DT,0.9632687631894937,0.24461296398658305,4.1259765625,0.01763398596085608,4.1259765625
IoTID20,10.0,41927,233,57,AdaBoost,1.0,3.2698702980414964,4.126949469137528,1.234642311988864,4.128011067709028
IoTID20,10.0,41927,233,57,LogReg,-0.0034199945408106844,1.649491342017427,4.128011067707698,0.01096646604128182,4.12801106770833
IoTID20,10.0,41927,233,57,Ridge,0.10219520108408067,0.03569609398255125,4.1280110677083295,0.01574659498874098,4.128011067708334
IoTID20,10.0,41927,233,65,RF,0.9927573209644852,3.7568287170142867,4.1513146799034555,1.061276045977138,4.152425130208536
IoTID20,10.0,41927,233,65,DT,0.6877381912646482,0.33923924603732303,4.152425130208588,0.019732813991140574,4.153834702076213
IoTID20,10.0,41927,233,65,AdaBoost,1.0,3.6150299420114607,4.154459635418461,1.3202938699978404,4.15445963541575
IoTID20,10.0,41927,233,65,LogReg,-0.05332993913256901,2.1705973719945177,4.178873697916661,0.012412658950779587,4.178873697916667
IoTID20,10.0,41927,233,65,Ridge,0.08685103042340934,0.05754875601269305,4.17887369791665,0.021068750007543713,4.1788736979166625
IoTID20,10.0,41927,233,73,RF,0.9938928849244621,3.440250488987658,4.1782973709215065,1.3021529239485972,4.176839192709221
IoTID20,10.0,41927,233,73,DT,0.9983059176123124,0.3434753160108812,4.176839192708599,0.027359954023268074,4.17683919270835
IoTID20,10.0,41927,233,73,AdaBoost,1.0,3.5734564010053873,4.192970477167924,1.7046170699759386,4.221598307290442
IoTID20,10.0,41927,233,73,LogReg,-0.057657805191967164,1.775970046990551,4.221598307292099,0.013665220001712441,4.221598307291666
IoTID20,10.0,41927,233,73,Ridge,-0.11874584400552615,0.06694532703841105,4.2215983072916545,0.01715256297029555,4.221598307291662
IoTID20,10.0,41927,233,82,RF,0.9942172369464829,3.550380340020638,5.251057942709625,1.3985784779652022,5.25263066060995
IoTID20,10.0,41927,233,82,DT,0.994651300713264,0.34161692002089694,5.269368489583616,0.029909476987086236,5.269368489583312
IoTID20,10.0,41927,233,82,AdaBoost,1.0,3.767488956975285,5.269368489585718,1.825506936002057,5.2655346343936085
IoTID20,10.0,41927,233,82,LogReg,0.8272785222439423,1.7190668280236423,5.263264973958729,0.015218283981084824,5.263264973958333
IoTID20,10.0,41927,233,82,Ridge,0.5323347353276264,0.07054698397405446,5.263264973958312,0.03126123402034864,5.263264973958307
IoTID20,10.0,41927,377,8,RF,0.0,1.0133332319674082,5.263264973958806,0.9260385949746706,5.269424050005836
IoTID20,10.0,41927,377,8,DT,-0.03576555546880935,0.03646233299514279,5.281575520833295,0.007425172021612525,5.281575520833328
IoTID20,10.0,41927,377,8,AdaBoost,-0.023094893167322453,0.6360383699648082,5.281575520832717,0.6877628299989738,5.281575520832757
IoTID20,10.0,41927,377,8,LogReg,-0.01983323655105574,0.05259349901461974,5.281575520833305,0.0031773209921084344,5.281575520833334
IoTID20,10.0,41927,377,8,Ridge,-0.02404307062361225,0.010358285042457283,5.281575520833334,0.003212887968402356,5.281575520833334
IoTID20,10.0,41927,377,16,RF,0.0,1.5987315499805845,5.281575520833835,1.0477583429892547,5.281575520834259
IoTID20,10.0,41927,377,16,DT,0.0034554363039754035,0.08645038300892338,5.281575520833394,0.014148075017146766,5.281575520833341
IoTID20,10.0,41927,377,16,AdaBoost,-0.09047622871352218,0.9134237170219421,5.295957808208283,0.7881818219902925,5.299886067708306
IoTID20,10.0,41927,377,16,LogReg,0.27101013550090103,0.2818523970199749,5.299886067708593,0.0044595179497264326,5.299886067708334
IoTID20,10.0,41927,377,16,Ridge,0.06074451698846123,0.018514817988034338,5.299886067708344,0.004847255011554807,5.299886067708334
IoTID20,10.0,41927,377,24,RF,0.0,1.8613013100111857,5.299886067707582,1.008007391996216,5.299886067709184
IoTID20,10.0,41927,377,24,DT,-0.10324636742316995,0.1427549659856595,5.3178240995452395,0.013236625003628433,5.340576171875
IoTID20,10.0,41927,377,24,AdaBoost,-0.08361673339188302,1.4099330290337093,5.340576171875,0.9494948069914244,5.340576171875
IoTID20,10.0,41927,377,24,LogReg,-0.07619747915242009,0.5175947620300576,5.340576171875,0.006888514035381377,5.340576171875
IoTID20,10.0,41927,377,24,Ridge,0.11379042243272115,0.019481973024085164,5.340576171875,0.006679312034975737,5.340576171875
IoTID20,10.0,41927,377,32,RF,0.9332465339655001,2.633435716968961,5.337762296929324,1.1919758159783669,5.332438151040273
IoTID20,10.0,41927,377,32,DT,0.29091146728625883,0.2838876260211691,5.332438151041361,0.01653026498388499,5.332438151041649
IoTID20,10.0,41927,377,32,AdaBoost,0.4521056726921535,1.8240790859563276,5.332438151042595,0.9677289109677076,5.336925497592657
IoTID20,10.0,41927,377,32,LogReg,0.0778819455230198,0.5601096819736995,5.348714192707874,0.0073394509963691235,5.348714192708334
IoTID20,10.0,41927,377,32,Ridge,0.13851193336291587,0.028036153002176434,5.348714192708353,0.007098469010088593,5.348714192708334
IoTID20,10.0,41927,377,41,RF,0.7893169075867608,3.610420309996698,5.348714192709983,1.119898753007874,5.360972736659177
IoTID20,10.0,41927,377,41,DT,0.8572087721755209,0.3796653510071337,5.364990234375,0.019226002972573042,5.364990234375
IoTID20,10.0,41927,377,41,AdaBoost,0.738438963892529,2.5902803739882074,5.364990234375,1.0693384899641387,5.364990234375
IoTID20,10.0,41927,377,41,LogReg,-0.06775029474366963,0.7365590879926458,5.403645833332587,0.009739644010551274,5.403645833333324
IoTID20,10.0,41927,377,41,Ridge,0.1975283829123515,0.0314571219496429,5.403645833333352,0.008309801982250065,5.403645833333334
IoTID20,10.0,41927,377,49,RF,0.732396961350531,4.51076701603597,5.408026993553417,1.2692810560110956,5.442301432290161
IoTID20,10.0,41927,377,49,DT,0.7945351856719508,0.5588445389876142,5.442301432292271,0.02268582402030006,5.442301432291662
IoTID20,10.0,41927,377,49,AdaBoost,0.5568267268574731,2.7652218170114793,5.443463949015641,1.1606853539706208,5.458577473959635
IoTID20,10.0,41927,377,49,LogReg,0.0810415521696261,1.4052195439580828,5.458577473958508,0.009772635996341705,5.458577473958334
IoTID20,10.0,41927,377,49,Ridge,-0.05223573699499062,0.03944516903720796,5.4585774739583455,0.0103788529522717,5.458577473958329
IoTID20,10.0,41927,377,57,RF,0.9949124662109463,3.551163646974601,5.454823004276108,0.9917365210130811,5.450439453125
IoTID20,10.0,41927,377,57,DT,0.9961280150517697,0.2958230520016514,5.450439453125,0.017942995007615536,5.450439453125
IoTID20,10.0,41927,377,57,AdaBoost,1.0,3.278368833998684,5.456769347419935,1.2629124809755012,5.466715494790159
IoTID20,10.0,41927,377,57,LogReg,-0.004922506249067375,1.5509378640563227,5.466715494791371,0.011039141973014921,5.466715494791666
IoTID20,10.0,41927,377,57,Ridge,0.028274291864340127,0.039371061022393405,5.466715494791649,0.011200655018910766,5.466715494791672
IoTID20,10.0,41927,377,65,RF,0.9966161741996363,3.3558991869795136,5.459972601407973,1.0132065569632687,5.458577473959238
IoTID20,10.0,41927,377,65,DT,0.38896552400793705,0.27056995197199285,5.45857747395861,0.020471328985877335,5.458577473958354
IoTID20,10.0,41927,377,65,AdaBoost,1.0,3.4756143370177597,5.470853123666199,1.3257842989987694,5.474853515625
IoTID20,10.0,41927,377,65,LogReg,-0.05562396428998286,1.8528141290298663,5.727336698581896,0.01185396104119718,6.028238932291666
IoTID20,10.0,41927,377,65,Ridge,0.16078984780871677,0.050981395004782826,6.0282389322916545,0.0205940610030666,6.028238932291647
IoTID20,10.0,41927,377,73,RF,0.9965657401802941,3.3620935669750907,6.028238932289184,1.2932596149621531,6.051102382388431
IoTID20,10.0,41927,377,73,DT,0.9862723153894486,0.3388531809905544,6.064860026041666,0.02137748000677675,6.064860026041668
IoTID20,10.0,41927,377,73,AdaBoost,1.0,3.5086680639651604,6.06486002603833,1.4237858089618385,6.054811223818021
IoTID20,10.0,41927,377,73,LogReg,-0.06343863895384073,1.6738086810219102,6.052652994791048,0.013340078992769122,6.052652994791666
IoTID20,10.0,41927,377,73,Ridge,-0.090173732324549,0.05963735602563247,6.052652994791656,0.021168016945011914,6.0526529947916465
IoTID20,10.0,41927,377,82,RF,0.9925951203362803,3.521647049987223,6.059783180725668,1.4608927840017714,6.06689453125
IoTID20,10.0,41927,377,82,DT,0.9945961586094864,0.3470351219875738,6.06689453125,0.028590423986315727,6.06689453125
IoTID20,10.0,41927,377,82,AdaBoost,1.0,4.198836587020196,6.058593242554763,1.7572919619851746,6.0546875
IoTID20,10.0,41927,377,82,LogReg,0.8181281076799846,1.8469460089690983,6.48240459721349,0.01485891902120784,6.583658854166667
IoTID20,10.0,41927,377,82,Ridge,0.5072308053599587,0.0651357730384916,6.583658854166703,0.02915203699376434,6.583658854166706
IoTID20,10.0,41927,610,8,RF,0.0,1.0129917109734379,6.583658854165527,0.9334124780143611,6.583658854165467
IoTID20,10.0,41927,610,8,DT,-0.035612404299997964,0.04422997799701989,6.583658854166641,0.009057515009772032,6.583658854166674
IoTID20,10.0,41927,610,8,AdaBoost,-0.02447692696100634,0.6026930389925838,6.583658854167214,0.6838158369646408,6.57737527944582
IoTID20,10.0,41927,610,8,LogReg,0.031227648820786203,0.07226265402277932,6.569417317708422,0.0031969380215741694,6.569417317708333
IoTID20,10.0,41927,610,8,Ridge,-0.023331316786166015,0.010221088014077395,6.569417317708333,0.0030956179834902287,6.569417317708333
IoTID20,10.0,41927,610,16,RF,0.0,1.5482002510107122,6.5694173177074155,1.027370490017347,6.569417317709777
IoTID20,10.0,41927,610,16,DT,0.16489127303235476,0.0792760830372572,6.569417317708331,0.01410120801301673,6.56941731770835
IoTID20,10.0,41927,610,16,AdaBoost,-0.0903750586372525,0.9468622750137001,6.569417317709489,0.7730933770071715,6.569712303876475
IoTID20,10.0,41927,610,16,LogReg,0.32909235421162686,0.30399162200046703,6.57958984375,0.004368897003587335,6.57958984375
IoTID20,10.0,41927,610,16,Ridge,0.16446385511235073,0.014722824969794601,6.57958984375,0.004290659970138222,6.57958984375
IoTID20,10.0,41927,610,24,RF,0.0,1.934951956034638,6.57958984375,1.021418975025881,6.57958984375
IoTID20,10.0,41927,610,24,DT,-0.05871552646691823,0.14826697995886207,6.57958984375,0.012116935045924038,6.57958984375
IoTID20,10.0,41927,610,24,AdaBoost,-0.030218080415278067,1.6070972500019707,6.576632567879241,0.8587103589670733,6.565348307290694
IoTID20,10.0,41927,610,24,LogReg,-0.009108755881240502,0.5173772840062156,6.565348307292364,0.006186588027048856,6.565348307291667
IoTID20,10.0,41927,610,24,Ridge,0.15576772390523294,0.019156322989147156,6.565348307291667,0.005693503015208989,6.565348307291666
IoTID20,10.0,41927,610,32,RF,0.8814450547591482,2.4442574660060927,6.565348307293202,1.0747594779822975,6.579913468185519
IoTID20,10.0,41927,610,32,DT,0.8486899616304096,0.2521485809702426,6.597900390625,0.018170713039580733,6.597900390625
IoTID20,10.0,41927,610,32,AdaBoost,0.9018782203863024,1.8039807209861465,6.597900390625,0.9584260450210422,6.597900390625
IoTID20,10.0,41927,610,32,LogReg,0.09607976250603785,0.5719588040374219,6.597900390625,0.025800728995818645,6.597900390625
IoTID20,10.0,41927,610,32,Ridge,0.08882700718069397,0.021050877985544503,6.597900390625,0.00682137900730595,6.597900390625
IoTID20,10.0,41927,610,41,RF,0.774215666323339,3.798521980002988,6.585709038275783,1.1207825319725089,6.583658854165514
