Classifier,Dataset,Instances VS energy SRCC,Features VS energy SRCC,Instances VS MCC SRCC,Features VS MCC SRCC,MCC VS energy SRCC
RF,IoTID20,0.8884174476468826,0.3395187503564993,0.06817862201556302,0.7995438046820675,0.3586941318010239
RF,BoTNeTIoT-L01,0.8823869192213674,0.3946377801657072,0.05741063061090362,0.43612781573325105,0.1858145814581458
RF,IoT-DNL,0.854646488463998,0.4398667433570703,-0.04107023988229056,0.35618331386902796,0.0915563744995531
RF,X-IIoTID,0.8832311932009395,0.41719195647713364,-0.04655567944497647,-0.24785471828867003,-0.21279327932793277
DT,IoTID20,0.7668419945884983,0.4442087238234413,0.001809158527654526,0.9230326808093391,0.39141914191419136
DT,BoTNeTIoT-L01,0.7457351450991956,0.6031734531200189,0.027981651894389996,-0.0006030528425515086,-0.03821182118211821
DT,IoT-DNL,0.6775901738908752,0.656000882127531,-0.20987624288250906,-0.027983499051001205,-0.18369049302198595
DT,X-IIoTID,0.7153412818345994,0.6391154025360888,-0.0840655662516803,-0.13013880342261555,-0.30377437743774377
AdaBoost,IoTID20,0.7825213684948376,0.5564971631065321,0.02928524360459884,0.8979564503983365,0.5262939335808311
AdaBoost,BoTNeTIoT-L01,0.8215991926921753,0.5093384308190041,0.07466242223565757,0.3792223836977502,0.2255760925809149
AdaBoost,IoT-DNL,0.8884174476468826,0.40428662564653134,-0.047740312394910146,0.40582283254535506,0.11856028475813324
AdaBoost,X-IIoTID,0.7626206246906377,0.6014849051608747,-0.02761990305697938,-0.10083073779753171,-0.14530496641219437
LogReg,IoTID20,0.6198177115744405,0.6871184088031889,-0.12869147660049193,0.026534325072266378,-0.15433543354335433
LogReg,BoTNeTIoT-L01,0.5233292567661992,0.8170159910887838,0.06313047516587322,0.13922632622953618,0.12618896502270308
LogReg,IoT-DNL,0.7131702916014141,0.5815841613566748,-0.05934039970706845,0.08129152317594335,-0.011557155715571556
LogReg,X-IIoTID,0.4179156198881955,0.8705670835073577,-0.057048798905372705,0.20515857703602325,0.11725172517251724
Ridge,IoTID20,0.6985764128116675,0.6655291170398449,0.03564052992723758,0.23193481912039887,0.19209778607282998
Ridge,BoTNeTIoT-L01,0.8667075453150281,0.45988809772978045,0.03915024807979938,0.6500874526830884,0.3035618578589238
Ridge,IoT-DNL,0.9539089863479762,0.2537646361456748,0.09938340663297383,0.055842860765857864,0.0882150861542709
Ridge,X-IIoTID,0.7176328826362951,0.6515382910926499,-0.023639671428019135,-0.07079840371554712,-0.09136513651365136
AVG,AVG,0.7590203992206052,0.5496163301730194,-0.011450795092982326,0.2504877975350162,0.07920986488597431
