Classifier,Dataset,MAX MCC value,MAX MCC sample size,MAX MCC number of features,MAX MCC energy consumed,CP MCC value,CP MCC sample size,CP MCC number of features,CP MCC energy consumed
RF,IoTID20,0.99965,80.0,57,45938.214225145464,0.99561,10.0,73,3898.056902481009
DT,IoTID20,0.99957,90.0,82,5678.70988577927,0.99442,10.0,73,365.1792414921473
AdaBoost,IoTID20,1.0,10.0,65,4009.6121319533772,1.0,10.0,65,4009.6121319533772
LogReg,IoTID20,0.83548,100.0,82,46066.440881300725,0.82389,10.0,82,1995.8514129638982
Ridge,IoTID20,0.52176,10.0,82,78.41550215846887,0.52176,10.0,82,78.41550215846887
RF,BoTNeTIoT-L01,0.99999,100.0,23,1183028.8459742991,0.9887,10.0,2,20806.657664447852
DT,BoTNeTIoT-L01,0.99998,100.0,23,75941.21631450596,0.99947,10.0,23,3899.010086337426
AdaBoost,BoTNeTIoT-L01,0.99974,90.0,23,632371.0964081632,0.9886,10.0,2,9925.504211876343
LogReg,BoTNeTIoT-L01,0.99662,100.0,23,109239.16652339506,0.99627,10.0,23,6359.663394590582
Ridge,BoTNeTIoT-L01,0.9629,30.0,23,797.1637609725476,0.96276,10.0,23,259.0386953251477
RF,IoT-DNL,0.99999,80.0,13,16775.052013794877,0.99996,10.0,13,1493.219825388408
DT,IoT-DNL,1.0,90.0,13,632.7908872048071,0.99998,10.0,13,47.25352844030612
AdaBoost,IoT-DNL,0.80055,80.0,13,14373.565289678454,0.80048,10.0,13,1299.5587881569422
LogReg,IoT-DNL,0.85627,70.0,13,87671.39390143345,0.85471,10.0,13,5323.9973575771855
Ridge,IoT-DNL,0.8459,20.0,13,39.10270958811641,0.84578,10.0,13,21.04506567202356
RF,X-IIoTID,0.99823,100.0,63,186606.17345829678,0.9958,10.0,63,12971.883082398876
DT,X-IIoTID,0.99786,100.0,63,17226.521904010886,0.99629,10.0,63,1212.772742248509
AdaBoost,X-IIoTID,0.99249,100.0,63,126234.81095720157,0.99181,10.0,63,10476.673749431022
LogReg,X-IIoTID,0.89869,100.0,63,31968.750765535708,0.89655,10.0,63,2600.409162984977
Ridge,X-IIoTID,0.8616,70.0,63,547.1292329562929,0.86137,10.0,63,73.548369749156
