Classifier,Dataset,Instances VS energy SRCC,Features VS energy SRCC,Instances VS MCC SRCC,Features VS MCC SRCC,MCC VS energy SRCC
RF,1,0.7904251983544547,0.4937774449968853,0.015511448076554357,0.38882762266208687,0.05137778379947316
RF,2,0.8401770302161075,0.4726367746302897,-0.1299965165756132,0.032285269038205014,-0.0883795917419576
RF,3,0.9049329557956489,0.36860186093517533,-0.003390531868848441,0.21307654042906973,0.10558921242915772
RF,4,0.8969883663032718,0.36934932222992545,0.0035698713418905264,0.24602980575824182,0.09406417842339322
DT,1,0.6803290391199439,0.5246696787149188,0.08690252161873262,0.44265173907777644,0.23416279897932868
DT,2,0.6599177456342785,0.706435590904207,0.03069579639876423,0.09316331129339332,0.10861820517717319
DT,3,0.7147241179532513,0.6457873283192478,-0.23598101807185148,0.3524522839159762,-0.023529411764705882
DT,4,0.7581665405242926,0.586688423641813,-0.02345300434514148,0.5197471903604436,0.2945179746527245
AdaBoost,1,0.6893179806434845,0.6571323907287603,-0.11513786648531485,0.4962289283204276,0.18507614431542055
AdaBoost,2,0.7766706519913791,0.5694317434934525,-0.08094812338173432,-0.018731707465126923,-0.03064810152954044
AdaBoost,3,0.7611744045564749,0.6007642651142078,0.010680227567123017,0.038074037293400635,-0.04585717147392757
AdaBoost,4,0.8155166919542609,0.5212280083890496,0.1357212245942012,0.5843962054476666,0.43026874976214313
LogReg,1,0.5965484805122501,0.7045256435006494,-0.06459509165730347,0.07452691729373463,-0.11890351438892462
LogReg,2,0.6824894158374626,0.6584768593608394,0.029586057511223642,-0.22746513596683118,-0.14753641556277017
LogReg,3,0.44415967481914576,0.8586681162996,-0.06102957363927194,0.5489877424284118,0.45045925346882937
LogReg,4,0.6274672683813173,0.7222129672093223,0.018768021658948888,0.06699498627342426,0.039658000043734015
MLP1,1,0.9283718639940935,-0.0036378939989769256,0.049045196439716984,0.12860330880159138,-0.017402944165170298
MLP1,2,0.8264623326436719,0.3890217687655488,-0.17004131142862505,-0.15451052205928445,-0.13522283372975222
MLP1,3,0.8852678709563279,0.19457793402525986,-0.247847879612821,0.16991312548684662,-0.22980261872190738
MLP1,4,0.880250983053324,0.1510894782056414,0.0636882046459413,0.42875914317265446,0.23975421486518997
MLP2,1,0.923167200191245,-0.10276873380234482,0.002948454863682714,0.10486760446485915,-0.05236790706498004
MLP2,2,0.8656172707512362,0.3084823772063064,-0.14376353211044693,-0.12870663932671164,-0.07202816021111476
MLP2,3,0.8944223070022187,0.11128526709593586,-0.24276208180954836,0.19134801862142004,-0.2497166308383819
MLP2,4,0.849852941415551,0.20199339120527854,0.029844231162590853,0.5038654334124292,0.28617349281668897
MLP3,1,0.8496660662503266,-0.29259463794966195,-0.0569265444840306,0.10226335263568115,-0.1621015416890978
MLP3,2,0.8564252826072677,0.23915942086852912,-0.14384728598875188,-0.10326765998631662,-0.10940901751766523
MLP3,3,0.9018814771136853,0.017128339262786958,-0.14138517893098,0.25584845047385774,-0.11270275552081298
MLP3,4,0.8318848682207541,0.13390228277423935,0.06750334347497353,0.5018047237561131,0.291600883426997
